pedido_id,data_pedido,horario_pedido,restaurante,categoria,cidade,valor_pedido,tempo_entrega_min,avaliacao,metodo_pagamento,status
28,2026-01-15,10:37,Açaí Tropical,Açaí,Eusébio,29.1,47.0,1.0,Cartão de débito,Entregue
29,2026-01-18,20:55,Sushi Fortaleza,Sushi,Maracanaú,39.18,51.0,2.0,Cartão de crédito,Entregue
30,2026-04-18,20:37,Churrasco & Cia,Churrasco,Caucaia,52.68,60.0,3.0,Cartão de débito,Entregue
31,2026-02-03,20:41,Cantinho da Massa,Massas,Maracanaú,70.59,63.0,1.0,Cartão de crédito,Entregue
32,2026-05-25,11:04,Sushi Fortaleza,Sushi,Caucaia,41.19,37.0,1.0,Cartão de débito,Entregue
33,2026-02-10,17:53,Cantinho da Massa,Massas,Fortaleza,126.86,50.0,3.0,Cartão de crédito,Entregue
34,2026-02-04,14:07,Pizza Express,Pizza,Eusébio,63.58,53.0,2.0,Pix,Entregue
35,2026-06-12,23:16,Açaí Tropical,Açaí,Caucaia,164.85,69.0,1.0,Cartão de crédito,Entregue
36,2026-03-12,10:00,Churrasco & Cia,Churrasco,Eusébio,121.94,31.0,2.0,Dinheiro,Entregue
37,2026-04-20,18:00,Pizza Express,Pizza,Fortaleza,171.21,59.0,2.0,Cartão de crédito,Entregue
38,2026-05-30,18:09,Tempero Cearense,Saudável,Eusébio,26.69,38.0,1.0,Pix,Entregue
39,2026-03-05,20:06,Churrasco & Cia,Churrasco,Maracanaú,175.81,62.0,2.0,Cartão de débito,Entregue
40,2026-02-15,16:01,Burger House,Hambúrguer,Caucaia,145.18,41.0,2.0,Pix,Entregue
41,2026-06-29,11:24,Sabor Nordestino,Brasileira,Maracanaú,55.59,67.0,4.0,Pix,Entregue
42,2026-02-28,13:01,Sushi Fortaleza,Sushi,Maracanaú,72.52,70.0,1.0,Pix,Entregue
43,2026-05-11,16:43,Churrasco & Cia,Churrasco,Fortaleza,38.45,31.0,2.0,Pix,Entregue
44,2026-06-02,16:22,Churrasco & Cia,Churrasco,Maracanaú,116.99,47.0,1.0,Dinheiro,Entregue
45,2026-02-18,14:02,Tempero Cearense,Saudável,Fortaleza,103.19,66.0,5.0,Cartão de débito,Entregue
46,2026-01-18,20:58,Churrasco & Cia,Churrasco,Caucaia,126.14,22.0,3.0,Pix,Entregue
47,2026-03-25,16:44,Cantinho da Massa,Massas,Eusébio,50.69,57.0,4.0,Cartão de débito,Entregue
48,2026-03-19,16:35,Sabor Nordestino,Brasileira,Caucaia,65.91,42.0,5.0,Pix,Entregue
49,2026-04-24,20:13,Açaí Tropical,Açaí,Eusébio,125.42,33.0,5.0,Pix,Entregue
50,2026-03-02,20:19,Sushi Fortaleza,Sushi,Eusébio,43.58,17.0,2.0,Dinheiro,Entregue
51,2026-01-19,17:26,Sushi Fortaleza,Sushi,Maracanaú,99.1,30.0,2.0,Cartão de crédito,Entregue
52,2026-01-28,22:27,Sushi Fortaleza,Sushi,Eusébio,148.66,59.0,5.0,Dinheiro,Entregue
53,2026-03-05,23:07,Açaí Tropical,Açaí,Eusébio,148.23,57.0,5.0,Pix,Cancelado
54,2026-04-24,19:52,Tempero Cearense,Saudável,Maracanaú,163.55,62.0,4.0,Dinheiro,Entregue
55,2026-03-05,23:40,Cantinho da Massa,Massas,Maracanaú,120.28,32.0,4.0,Cartão de crédito,Entregue
56,2026-03-02,14:21,Churrasco & Cia,Churrasco,Fortaleza,42.14,29.0,4.0,Cartão de débito,Entregue
57,2026-01-17,16:26,Churrasco & Cia,Churrasco,Maracanaú,86.52,28.0,4.0,Dinheiro,Entregue
58,2026-05-30,21:01,Tempero Cearense,Saudável,Maracanaú,20.94,37.0,3.0,Dinheiro,Entregue
59,2026-04-18,18:47,Sushi Fortaleza,Sushi,Maracanaú,55.11,42.0,4.0,Cartão de crédito,Entregue
60,2026-06-21,20:51,Tempero Cearense,Saudável,Eusébio,154.48,23.0,5.0,Cartão de crédito,Entregue
61,2026-06-01,19:42,Sabor Nordestino,Brasileira,Fortaleza,122.84,23.0,4.0,Cartão de débito,Entregue
62,2026-04-08,15:13,Açaí Tropical,Açaí,Caucaia,74.0,39.0,3.0,Dinheiro,Entregue
63,2026-01-21,17:01,Sabor Nordestino,Brasileira,Caucaia,55.88,19.0,1.0,Cartão de crédito,Entregue
64,2026-02-21,23:01,Burger House,Hambúrguer,Eusébio,40.2,57.0,1.0,Cartão de débito,Entregue
65,2026-03-07,22:23,Burger House,Hambúrguer,Fortaleza,144.45,25.0,3.0,Cartão de crédito,Entregue
66,2026-03-21,19:43,Tempero Cearense,Saudável,Maracanaú,170.64,27.0,1.0,Cartão de débito,Entregue
67,2026-03-19,23:43,Pizza Express,Pizza,Fortaleza,75.55,42.0,3.0,Cartão de crédito,Entregue
68,2026-03-29,10:54,Tempero Cearense,Saudável,Maracanaú,36.89,38.0,4.0,Cartão de débito,Entregue
69,2026-05-14,20:17,Açaí Tropical,Açaí,Maracanaú,89.69,61.0,5.0,Pix,Entregue
70,2026-03-04,23:59,Pizza Express,Pizza,Caucaia,161.06,30.0,4.0,Dinheiro,Entregue
71,2026-05-07,23:20,Burger House,Hambúrguer,Maracanaú,53.94,66.0,3.0,Pix,Entregue
72,2026-06-02,21:56,Cantinho da Massa,Massas,Fortaleza,102.66,27.0,1.0,Cartão de débito,Entregue
73,2026-05-06,18:48,Sushi Fortaleza,Sushi,Maracanaú,123.34,46.0,4.0,Cartão de crédito,Entregue
74,2026-02-26,16:44,Sushi Fortaleza,Sushi,Caucaia,126.23,38.0,4.0,Pix,Entregue
75,2026-05-21,15:22,Açaí Tropical,Açaí,Caucaia,69.06,29.0,1.0,Cartão de débito,Entregue
76,2026-05-18,22:44,Burger House,Hambúrguer,Eusébio,54.62,45.0,3.0,Pix,Cancelado
77,2026-02-19,14:14,Churrasco & Cia,Churrasco,Eusébio,68.36,60.0,5.0,Cartão de débito,Entregue
78,2026-01-14,18:18,Burger House,Hambúrguer,Maracanaú,36.41,15.0,5.0,Pix,Entregue
79,2026-04-23,15:11,Sabor Nordestino,Brasileira,Caucaia,170.57,45.0,1.0,Cartão de crédito,Entregue
80,2026-01-19,19:40,Sabor Nordestino,Brasileira,Eusébio,43.87,51.0,3.0,Cartão de crédito,Cancelado
81,2026-01-31,18:48,Tempero Cearense,Saudável,Eusébio,144.11,39.0,4.0,Dinheiro,Entregue
82,2026-05-31,16:19,Sabor Nordestino,Brasileira,Fortaleza,171.61,28.0,2.0,Pix,Entregue
83,2026-02-10,13:11,Pizza Express,Pizza,Eusébio,20.43,43.0,5.0,Dinheiro,Entregue
84,2026-03-01,14:45,Cantinho da Massa,Massas,Maracanaú,31.39,29.0,3.0,Cartão de débito,Entregue
85,2026-05-20,13:41,Burger House,Hambúrguer,Caucaia,152.26,19.0,1.0,Cartão de débito,Entregue
86,2026-06-02,21:52,Cantinho da Massa,Massas,Maracanaú,39.9,59.0,3.0,Dinheiro,Entregue
87,2026-05-09,18:31,Açaí Tropical,Açaí,Fortaleza,115.69,42.0,3.0,Pix,Entregue
88,2026-02-28,20:53,Sabor Nordestino,Brasileira,Caucaia,112.2,63.0,2.0,Dinheiro,Entregue
89,2026-04-24,14:11,Tempero Cearense,Saudável,Maracanaú,175.05,45.0,3.0,Dinheiro,Entregue
90,2026-06-21,11:54,Burger House,Hambúrguer,Caucaia,85.86,46.0,3.0,Dinheiro,Entregue
91,2026-05-21,10:29,Pizza Express,Pizza,Caucaia,60.38,22.0,4.0,Cartão de crédito,Entregue
92,2026-05-19,17:26,Sabor Nordestino,Brasileira,Eusébio,102.95,54.0,4.0,Dinheiro,Entregue
93,2026-02-22,14:35,Burger House,Hambúrguer,Caucaia,90.1,59.0,4.0,Cartão de crédito,Entregue
94,2026-06-11,19:51,Sushi Fortaleza,Sushi,Eusébio,69.72,15.0,5.0,Dinheiro,Entregue
95,2026-01-30,17:07,Burger House,Hambúrguer,Maracanaú,169.22,33.0,5.0,Pix,Entregue
96,2026-05-04,17:15,Açaí Tropical,Açaí,Eusébio,81.37,53.0,5.0,Cartão de débito,Entregue
97,2026-03-12,22:50,Tempero Cearense,Saudável,Caucaia,169.48,47.0,3.0,Cartão de crédito,Entregue
98,2026-03-18,23:37,Açaí Tropical,Açaí,Eusébio,91.45,45.0,3.0,Pix,Entregue
99,2026-05-20,16:29,Churrasco & Cia,Churrasco,Eusébio,176.92,30.0,5.0,Dinheiro,Entregue
100,2026-04-16,10:20,Açaí Tropical,Açaí,Maracanaú,81.77,57.0,2.0,Dinheiro,Cancelado
101,2026-02-02,18:37,Churrasco & Cia,Churrasco,Fortaleza,159.87,43.0,,Dinheiro,Entregue
102,2026-02-06,16:55,Burger House,Hambúrguer,Fortaleza,95.12,31.0,3.0,Dinheiro,Entregue
103,2026-03-26,23:43,Tempero Cearense,Saudável,Caucaia,120.29,63.0,4.0,Cartão de crédito,Entregue
104,2026-03-02,20:43,Cantinho da Massa,Massas,Eusébio,139.48,42.0,1.0,Cartão de crédito,Entregue
105,2026-06-27,14:57,Sabor Nordestino,Brasileira,Fortaleza,71.9,18.0,3.0,Pix,Entregue
106,2026-02-07,13:33,Tempero Cearense,Saudável,Eusébio,47.2,20.0,5.0,Dinheiro,Entregue
107,2026-03-03,17:58,Burger House,Hambúrguer,Eusébio,93.78,31.0,4.0,Pix,Entregue
108,2026-04-30,14:43,Burger House,Hambúrguer,Fortaleza,90.68,37.0,5.0,Pix,Entregue
109,2026-04-19,21:16,Açaí Tropical,Açaí,Caucaia,51.87,39.0,4.0,Cartão de crédito,Entregue
110,2026-05-27,15:36,Cantinho da Massa,Massas,Caucaia,23.51,68.0,4.0,Pix,Entregue
111,2026-06-25,22:47,Sabor Nordestino,Brasileira,Maracanaú,153.25,33.0,2.0,Pix,Entregue
112,2026-02-18,19:16,Burger House,Hambúrguer,Fortaleza,164.54,56.0,1.0,Pix,Entregue
113,2026-01-09,19:23,Burger House,Hambúrguer,Fortaleza,165.54,35.0,4.0,Cartão de débito,Entregue
114,2026-05-19,15:33,Cantinho da Massa,Massas,Eusébio,61.12,67.0,4.0,Pix,Entregue
115,2026-03-28,22:07,Açaí Tropical,Açaí,Fortaleza,42.52,29.0,4.0,Pix,Entregue
116,2026-04-12,10:16,Pizza Express,Pizza,Maracanaú,78.97,62.0,3.0,Dinheiro,Entregue
117,2026-04-06,11:43,Sushi Fortaleza,Sushi,Maracanaú,24.0,50.0,3.0,Cartão de débito,Entregue
118,2026-06-12,23:29,Cantinho da Massa,Massas,Maracanaú,38.67,17.0,1.0,Pix,Cancelado
119,2026-01-30,11:15,Burger House,Hambúrguer,Maracanaú,92.58,57.0,5.0,Dinheiro,Entregue
120,2026-02-09,16:41,Pizza Express,Pizza,Maracanaú,118.5,32.0,1.0,Pix,Entregue
121,2026-04-24,13:54,Churrasco & Cia,Churrasco,Fortaleza,176.95,38.0,5.0,Pix,Entregue
122,2026-03-12,13:07,Açaí Tropical,Açaí,Fortaleza,126.04,56.0,5.0,Cartão de crédito,Entregue
123,2026-03-27,13:08,Sushi Fortaleza,Sushi,Fortaleza,152.77,50.0,2.0,Cartão de débito,Entregue
124,2026-03-01,15:49,Burger House,Hambúrguer,Fortaleza,64.36,24.0,2.0,Pix,Entregue
125,2026-01-29,20:55,Sabor Nordestino,Brasileira,Eusébio,22.38,65.0,2.0,Pix,Entregue
126,2026-03-09,10:08,Tempero Cearense,Saudável,Fortaleza,139.31,45.0,4.0,Pix,Entregue
127,2026-01-28,17:32,Sushi Fortaleza,Sushi,Fortaleza,136.36,70.0,5.0,Pix,Entregue
128,2026-01-08,10:30,Tempero Cearense,Saudável,Maracanaú,129.78,46.0,4.0,Cartão de crédito,Entregue
129,2026-03-24,19:09,Pizza Express,Pizza,Eusébio,64.0,55.0,5.0,Pix,Entregue
130,2026-06-02,18:18,Açaí Tropical,Açaí,Maracanaú,35.87,59.0,1.0,Cartão de débito,Entregue
131,2026-02-28,16:21,Açaí Tropical,Açaí,Maracanaú,86.56,21.0,3.0,Dinheiro,Entregue
132,2026-03-07,15:09,Açaí Tropical,Açaí,Fortaleza,34.6,20.0,1.0,Dinheiro,Entregue
133,2026-04-06,22:08,Sabor Nordestino,Brasileira,Caucaia,127.2,41.0,3.0,Dinheiro,Entregue
134,2026-01-14,14:38,Cantinho da Massa,Massas,Caucaia,36.58,47.0,2.0,Cartão de débito,Entregue
135,2026-02-27,23:06,Churrasco & Cia,Churrasco,Caucaia,38.38,32.0,5.0,Cartão de débito,Entregue
136,2026-05-24,22:52,Sabor Nordestino,Brasileira,Caucaia,24.63,32.0,3.0,Pix,Entregue
137,2026-02-16,23:09,Tempero Cearense,Saudável,Fortaleza,42.7,55.0,1.0,Cartão de crédito,Entregue
138,2026-02-25,16:26,Açaí Tropical,Açaí,Caucaia,45.19,34.0,3.0,Cartão de crédito,Entregue
139,2026-02-09,12:48,Sabor Nordestino,Brasileira,Fortaleza,63.54,57.0,4.0,Dinheiro,Entregue
140,2026-04-17,14:13,Pizza Express,Pizza,Caucaia,88.79,33.0,5.0,Dinheiro,Entregue
141,2026-03-20,10:14,Tempero Cearense,Saudável,Fortaleza,21.23,34.0,2.0,Cartão de débito,Entregue
142,2026-03-16,15:07,Sabor Nordestino,Brasileira,Maracanaú,139.52,26.0,2.0,Dinheiro,Entregue
143,2026-02-28,18:35,Churrasco & Cia,Churrasco,Fortaleza,83.53,62.0,1.0,Dinheiro,Entregue
144,2026-01-20,23:20,Tempero Cearense,Saudável,Maracanaú,133.52,41.0,3.0,Cartão de crédito,Entregue
145,2026-03-25,12:51,Açaí Tropical,Açaí,Caucaia,34.1,69.0,1.0,Cartão de débito,Entregue
146,2026-04-13,18:05,Tempero Cearense,Saudável,Caucaia,139.33,29.0,3.0,Cartão de débito,Entregue
147,2026-06-12,11:33,Sushi Fortaleza,Sushi,Caucaia,76.18,67.0,2.0,Cartão de débito,Entregue
148,2026-03-07,13:11,Burger House,Hambúrguer,Fortaleza,48.34,64.0,4.0,Dinheiro,Entregue
149,2026-05-29,17:43,Churrasco & Cia,Churrasco,Caucaia,44.15,19.0,4.0,Dinheiro,Entregue
150,2026-03-12,19:03,Churrasco & Cia,Churrasco,Fortaleza,69.67,43.0,1.0,Cartão de crédito,Entregue
151,2026-03-15,11:41,Pizza Express,Pizza,Maracanaú,94.03,50.0,1.0,Dinheiro,Entregue
152,2026-05-27,20:12,Churrasco & Cia,Churrasco,Maracanaú,100.22,18.0,4.0,Cartão de crédito,Entregue
153,2026-03-29,21:05,Burger House,Hambúrguer,Fortaleza,59.64,43.0,4.0,Cartão de débito,Entregue
154,2026-03-14,16:26,Churrasco & Cia,Churrasco,Fortaleza,146.28,56.0,3.0,Cartão de crédito,Entregue
155,2026-05-23,20:24,Cantinho da Massa,Massas,Caucaia,135.8,57.0,5.0,Cartão de débito,Entregue
156,2026-05-30,20:09,Churrasco & Cia,Churrasco,Caucaia,174.83,59.0,4.0,Cartão de débito,Entregue
157,2026-01-22,14:35,Tempero Cearense,Saudável,Caucaia,150.11,57.0,5.0,Cartão de crédito,Entregue
158,2026-04-19,18:23,Sabor Nordestino,Brasileira,Caucaia,69.42,28.0,3.0,Dinheiro,Entregue
159,2026-02-05,12:04,Cantinho da Massa,Massas,Fortaleza,101.23,49.0,5.0,Cartão de crédito,Entregue
160,2026-06-08,12:38,Tempero Cearense,Saudável,Eusébio,45.96,68.0,5.0,Cartão de débito,Entregue
161,2026-01-12,16:23,Sushi Fortaleza,Sushi,Maracanaú,117.7,63.0,4.0,Cartão de débito,Entregue
162,2026-03-21,22:50,Açaí Tropical,Açaí,Eusébio,78.85,51.0,4.0,Dinheiro,Entregue
163,2026-04-08,18:33,Tempero Cearense,Saudável,Eusébio,150.7,66.0,5.0,Cartão de débito,Entregue
164,2026-01-14,20:30,Churrasco & Cia,Churrasco,Fortaleza,133.82,48.0,1.0,Pix,Entregue
165,2026-02-11,14:28,Burger House,Hambúrguer,Maracanaú,34.67,29.0,4.0,Pix,Entregue
166,2026-04-17,10:25,Churrasco & Cia,Churrasco,Eusébio,81.79,20.0,3.0,Cartão de débito,Entregue
167,2026-01-26,23:45,Churrasco & Cia,Churrasco,Eusébio,42.02,33.0,4.0,Cartão de débito,Entregue
168,2026-05-01,17:39,Sabor Nordestino,Brasileira,Fortaleza,23.04,28.0,2.0,Dinheiro,Entregue
169,2026-03-15,13:19,Pizza Express,Pizza,Fortaleza,58.15,55.0,5.0,Dinheiro,Entregue
170,2026-05-08,19:34,Sabor Nordestino,Brasileira,Eusébio,134.97,33.0,4.0,Cartão de crédito,Entregue
171,2026-03-03,19:26,Burger House,Hambúrguer,Fortaleza,103.76,38.0,1.0,Cartão de crédito,Entregue
172,2026-05-01,10:40,Tempero Cearense,Saudável,Caucaia,60.58,16.0,3.0,Cartão de crédito,Entregue
173,2026-06-18,20:06,Churrasco & Cia,Churrasco,Eusébio,27.09,49.0,3.0,Cartão de débito,Entregue
174,2026-06-25,17:44,Açaí Tropical,Açaí,Eusébio,149.84,19.0,4.0,Cartão de crédito,Entregue
175,2026-01-12,22:12,Sabor Nordestino,Brasileira,Caucaia,169.34,47.0,4.0,Dinheiro,Entregue
176,2026-06-15,13:18,Churrasco & Cia,Churrasco,Fortaleza,158.53,36.0,3.0,Cartão de crédito,Entregue
177,2026-04-22,16:47,Açaí Tropical,Açaí,Maracanaú,74.25,26.0,4.0,Dinheiro,Entregue
178,2026-05-13,14:51,Pizza Express,Pizza,Maracanaú,32.63,53.0,2.0,Pix,Entregue
179,2026-01-21,15:42,Cantinho da Massa,Massas,Caucaia,91.35,60.0,4.0,Cartão de débito,Entregue
180,2026-03-31,17:02,Churrasco & Cia,Churrasco,Maracanaú,63.93,65.0,1.0,Cartão de crédito,Entregue
181,2026-04-14,15:32,Burger House,Hambúrguer,Fortaleza,42.84,53.0,4.0,Cartão de crédito,Entregue
182,2026-03-02,22:41,Churrasco & Cia,Churrasco,Caucaia,81.26,51.0,1.0,Cartão de débito,Entregue
183,2026-04-05,15:28,Pizza Express,Pizza,Eusébio,104.71,40.0,3.0,Pix,Entregue
184,2026-01-30,10:47,Burger House,Hambúrguer,Maracanaú,102.84,50.0,1.0,Pix,Entregue
185,2026-06-30,17:13,Cantinho da Massa,Massas,Maracanaú,52.03,23.0,1.0,Dinheiro,Entregue
186,2026-04-24,11:51,Churrasco & Cia,Churrasco,Caucaia,133.53,50.0,5.0,Pix,Entregue
187,2026-02-10,21:45,Burger House,Hambúrguer,Caucaia,101.4,22.0,2.0,Cartão de débito,Entregue
188,2026-05-07,10:23,Churrasco & Cia,Churrasco,Maracanaú,148.59,50.0,2.0,Cartão de crédito,Entregue
189,2026-04-12,21:46,Açaí Tropical,Açaí,Maracanaú,143.07,67.0,5.0,Cartão de crédito,Entregue
190,2026-03-23,20:04,Açaí Tropical,Açaí,Maracanaú,128.82,37.0,2.0,Cartão de débito,Entregue
191,2026-02-03,16:32,Sabor Nordestino,Brasileira,Fortaleza,102.9,34.0,2.0,Cartão de débito,Entregue
192,2026-02-27,15:33,Cantinho da Massa,Massas,Fortaleza,60.1,55.0,5.0,Pix,Entregue
193,2026-03-19,19:34,Pizza Express,Pizza,Eusébio,114.69,52.0,2.0,Cartão de débito,Entregue
194,2026-06-04,15:53,Sabor Nordestino,Brasileira,Fortaleza,33.0,56.0,5.0,Pix,Entregue
195,2026-05-27,16:39,Sabor Nordestino,Brasileira,Maracanaú,162.24,49.0,3.0,Pix,Entregue
196,2026-06-25,16:19,Açaí Tropical,Açaí,Fortaleza,130.18,25.0,4.0,Dinheiro,Entregue
197,2026-02-22,15:38,Burger House,Hambúrguer,Caucaia,157.84,35.0,3.0,Dinheiro,Entregue
198,2026-04-05,18:35,Pizza Express,Pizza,Caucaia,58.68,22.0,3.0,Dinheiro,Entregue
199,2026-01-25,10:18,Tempero Cearense,Saudável,Maracanaú,59.72,70.0,2.0,Pix,Entregue
200,2026-03-22,13:48,Burger House,Hambúrguer,Maracanaú,179.36,44.0,4.0,Pix,Entregue
201,2026-01-24,16:32,Açaí Tropical,Açaí,Eusébio,54.42,37.0,1.0,Cartão de crédito,Entregue
202,2026-06-02,23:41,Açaí Tropical,Açaí,Caucaia,105.87,69.0,1.0,Dinheiro,Entregue
203,2026-03-09,21:23,Tempero Cearense,Saudável,Caucaia,27.24,18.0,5.0,Cartão de débito,Entregue
204,2026-03-15,11:24,Açaí Tropical,Açaí,Caucaia,152.05,54.0,5.0,Cartão de crédito,Entregue
205,2026-01-25,16:23,Churrasco & Cia,Churrasco,Caucaia,140.79,27.0,5.0,Dinheiro,Entregue
206,2026-01-12,10:08,Churrasco & Cia,Churrasco,Maracanaú,103.09,24.0,5.0,Cartão de débito,Entregue
207,2026-06-06,15:10,Tempero Cearense,Saudável,Caucaia,115.0,47.0,5.0,Dinheiro,Entregue
208,2026-03-18,17:52,Sabor Nordestino,Brasileira,Caucaia,73.0,22.0,4.0,Pix,Entregue
209,2026-06-26,20:01,Açaí Tropical,Açaí,Caucaia,174.73,65.0,5.0,Cartão de débito,Entregue
210,2026-05-30,17:10,Tempero Cearense,Saudável,Eusébio,151.47,30.0,1.0,Cartão de crédito,Entregue
211,2026-04-23,15:26,Burger House,Hambúrguer,Maracanaú,130.48,41.0,5.0,Dinheiro,Entregue
212,2026-01-16,21:08,Sushi Fortaleza,Sushi,Caucaia,179.7,45.0,5.0,Dinheiro,Entregue
213,2026-02-14,17:58,Churrasco & Cia,Churrasco,Caucaia,128.14,70.0,3.0,Dinheiro,Entregue
214,2026-03-05,14:35,Cantinho da Massa,Massas,Eusébio,170.64,34.0,3.0,Cartão de débito,Entregue
215,2026-05-06,15:30,Churrasco & Cia,Churrasco,Caucaia,66.05,51.0,5.0,Dinheiro,Entregue
216,2026-04-12,23:22,Burger House,Hambúrguer,Caucaia,26.73,60.0,1.0,Pix,Entregue
217,2026-06-17,14:47,Açaí Tropical,Açaí,Eusébio,52.33,49.0,3.0,Pix,Entregue
218,2026-06-07,21:37,Sushi Fortaleza,Sushi,Eusébio,28.12,48.0,2.0,Cartão de débito,Entregue
219,2026-04-16,15:45,Açaí Tropical,Açaí,Fortaleza,128.99,23.0,1.0,Cartão de débito,Entregue
220,2026-05-02,17:41,Sushi Fortaleza,Sushi,Caucaia,71.39,56.0,1.0,Cartão de crédito,Entregue
221,2026-03-01,18:47,Sabor Nordestino,Brasileira,Eusébio,86.86,68.0,2.0,Cartão de crédito,Cancelado
222,2026-04-12,22:31,Burger House,Hambúrguer,Caucaia,160.28,15.0,3.0,Cartão de crédito,Entregue
223,2026-03-27,14:29,Açaí Tropical,Açaí,Eusébio,156.17,44.0,3.0,Cartão de débito,Entregue
224,2026-03-26,12:46,Açaí Tropical,Açaí,Caucaia,134.98,15.0,3.0,Pix,Entregue
225,2026-02-19,12:39,Tempero Cearense,Saudável,Maracanaú,102.44,20.0,4.0,Cartão de crédito,Entregue
226,2026-02-05,17:20,Sushi Fortaleza,Sushi,Fortaleza,61.73,30.0,4.0,Pix,Cancelado
227,2026-03-19,19:46,Sabor Nordestino,Brasileira,Caucaia,124.59,59.0,2.0,Cartão de crédito,Entregue
228,2026-04-30,14:10,Tempero Cearense,Saudável,Caucaia,130.45,55.0,3.0,Pix,Entregue
229,2026-02-26,12:30,Burger House,Hambúrguer,Maracanaú,139.64,53.0,3.0,Dinheiro,Entregue
230,2026-05-01,22:34,Sushi Fortaleza,Sushi,Eusébio,128.85,53.0,1.0,Dinheiro,Entregue
231,2026-04-03,11:58,Pizza Express,Pizza,Fortaleza,152.6,47.0,2.0,Cartão de débito,Entregue
232,2026-05-14,17:07,Sushi Fortaleza,Sushi,Maracanaú,34.55,47.0,4.0,Cartão de crédito,Entregue
233,2026-05-12,16:29,Sabor Nordestino,Brasileira,Maracanaú,127.64,34.0,1.0,Dinheiro,Entregue
234,2026-01-01,21:13,Pizza Express,Pizza,Fortaleza,87.79,59.0,1.0,Cartão de crédito,Entregue
235,2026-01-18,17:02,Cantinho da Massa,Massas,Maracanaú,48.8,23.0,4.0,Pix,Cancelado
236,2026-04-08,17:55,Tempero Cearense,Saudável,Maracanaú,32.84,57.0,5.0,Cartão de débito,Entregue
237,2026-03-31,11:11,Tempero Cearense,Saudável,Eusébio,136.46,29.0,1.0,Cartão de crédito,Cancelado
238,2026-04-29,20:46,Tempero Cearense,Saudável,Maracanaú,151.74,30.0,4.0,Pix,Entregue
239,2026-02-18,21:48,Pizza Express,Pizza,Fortaleza,149.52,41.0,5.0,Cartão de crédito,Entregue
